,(1+p),(1-p),(n*p+n),(n*p+x),(n*p+y),(n*p-n),(n*p-x),(n*p-y),(n+x),(n+y),(n-n*p),(n-x),(n-y),(x+y),(x-n),(x-n*p),(x-y),(y-n),(y-n*p),(y-x),expected_post,n,n*p,p,post-init,x,y
147,1.3,0.7,13.0,23.0,19.0,-7.0,-17.0,-13.0,30,26,7.0,-10,-6,36,10,17.0,4,6,13.0,-4,148.698,10,3.0,0.3,128.698,20,16
148,1.85,0.15,33.3,16.3,30.3,-2.7,14.3,0.3,19,33,2.7,17,3,16,-17,-14.3,-14,-3,-0.3,14,187.932,18,15.3,0.85,186.932,1,15
149,1.83,0.17,27.45,23.45,18.45,-2.55,1.45,6.45,26,21,2.55,4,9,17,-4,-1.45,5,-9,-6.45,-5,125.818,15,12.45,0.83,114.818,11,6
150,1.5,0.5,22.5,11.5,11.5,-7.5,3.5,3.5,19,19,7.5,11,11,8,-11,-3.5,0,-11,-3.5,0,94.384,15,7.5,0.5,90.384,4,4
151,1.25,0.75,17.5,11.5,11.5,-10.5,-4.5,-4.5,22,22,10.5,6,6,16,-6,4.5,0,-6,4.5,0,118.436,14,3.5,0.25,110.436,8,8
152,1.3,0.7,19.5,13.5,13.5,-10.5,-4.5,-4.5,24,24,10.5,6,6,18,-6,4.5,0,-6,4.5,0,139.592,15,4.5,0.3,130.592,9,9
153,1.41,0.59,11.28,17.28,5.28,-4.72,-10.72,1.28,22,10,4.72,-6,6,16,6,10.72,12,-6,-1.28,-12,37.942,8,3.28,0.41,23.942,14,2
154,1.94,0.06,25.22,23.22,28.22,-0.78,1.22,-3.78,24,29,0.78,2,-3,27,-2,-1.22,-5,3,3.78,5,109.33,13,12.22,0.94,98.33,11,16
155,1.8,0.2,34.2,23.2,35.2,-3.8,7.2,-4.8,27,39,3.8,11,-1,28,-11,-7.2,-12,1,4.8,12,235.684,19,15.2,0.8,227.684,8,20
156,1.71,0.29,29.07,26.07,12.07,-4.93,-1.93,12.07,31,17,4.93,3,17,14,-3,1.93,14,-17,-12.07,-14,121.782,17,12.07,0.71,107.782,14,0
157,1.28,0.72,11.52,7.52,21.52,-6.48,-2.48,-16.48,14,28,6.48,4,-10,24,-4,2.48,-14,10,16.48,14,141.446,9,2.52,0.28,136.446,5,19
158,1.08,0.92,8.64,2.64,12.64,-7.36,-1.36,-11.36,10,20,7.36,6,-4,14,-6,1.36,-10,4,11.36,10,93.198,8,0.64,0.08,91.198,2,12
159,1.75,0.25,5.25,9.25,10.25,-0.75,-4.75,-5.75,10,11,0.75,-4,-5,15,4,4.75,-1,5,5.75,1,17.316,3,2.25,0.75,10.315999999999999,7,8
160,1.74,0.26,12.18,5.18,20.18,-1.82,5.18,-9.82,7,22,1.82,7,-8,15,-7,-5.18,-15,8,9.82,15,47.32,7,5.18,0.74,47.32,0,15
161,1.55,0.45,4.65,20.65,18.65,-1.35,-17.35,-15.35,22,20,1.35,-16,-14,36,16,17.35,2,14,15.35,-2,44.876,3,1.65,0.55,25.875999999999998,19,17
162,1.18,0.82,23.6,19.6,3.6,-16.4,-12.4,3.6,36,20,16.4,4,20,16,-4,12.4,16,-20,-3.6,-16,55.27,20,3.6,0.18,39.27,16,0
163,1.91,0.09,9.55,19.55,4.55,-0.45,-10.45,4.55,20,5,0.45,-10,5,15,10,10.45,15,-5,-4.55,-15,28.582,5,4.55,0.91,13.582,15,0
164,1.38,0.62,13.8,17.8,13.8,-6.2,-10.2,-6.2,24,20,6.2,-4,0,24,4,10.2,4,0,6.2,-4,97.048,10,3.8,0.38,83.048,14,10
165,1.43,0.57,18.59,23.59,22.59,-7.41,-12.41,-11.41,31,30,7.41,-5,-4,35,5,12.41,1,4,11.41,-1,183.74,13,5.59,0.43,165.74,18,17
166,1.88,0.12,7.52,12.52,11.52,-0.48,-5.48,-4.48,13,12,0.48,-5,-4,17,5,5.48,1,4,4.48,-1,21.682,4,3.52,0.88,12.681999999999999,9,8
167,1.75,0.25,17.5,7.5,17.5,-2.5,7.5,-2.5,10,20,2.5,10,0,10,-10,-7.5,-10,0,2.5,10,66.126,10,7.5,0.75,66.126,0,10
168,1.7,0.3,13.6,19.6,9.6,-2.4,-8.4,1.6,22,12,2.4,-6,4,18,6,8.4,10,-4,-1.6,-10,48.64,8,5.6,0.7,34.64,14,4
169,1.16,0.84,15.08,6.08,10.08,-10.92,-1.92,-5.92,17,21,10.92,9,5,12,-9,1.92,-4,-5,5.92,4,105.576,13,2.08,0.16,101.576,4,8
170,1.54,0.46,1.54,4.54,20.54,-0.46,-3.46,-19.46,5,21,0.46,-3,-19,24,3,3.46,-16,19,19.46,16,14.082,1,0.54,0.54,10.082,4,20
171,1.22,0.78,7.32,3.32,14.32,-4.68,-0.68,-11.68,8,19,4.68,4,-7,15,-4,0.68,-11,7,11.68,11,67.52,6,1.32,0.22,65.52,2,13
172,1.43,0.57,4.29,9.29,6.29,-1.71,-6.71,-3.71,11,8,1.71,-5,-2,13,5,6.71,3,2,3.71,-3,19.388,3,1.29,0.43,11.388000000000002,8,5
173,1.94,0.06,27.16,30.16,18.16,-0.84,-3.84,8.16,31,19,0.84,-3,9,22,3,3.84,12,-9,-8.16,-12,119.762,14,13.16,0.94,102.762,17,5
174,1.6,0.4,20.8,16.8,24.8,-5.2,-1.2,-9.2,22,30,5.2,4,-4,26,-4,1.2,-8,4,9.2,8,152.508,13,7.8,0.6,143.508,9,17
175,1.34,0.66,9.38,19.38,5.38,-4.62,-14.62,-0.62,24,10,4.62,-10,4,20,10,14.62,14,-4,0.62,-14,40.408,7,2.38,0.34,23.408,17,3
176,1.46,0.54,8.76,21.76,15.76,-3.24,-16.24,-10.24,25,19,3.24,-13,-7,32,13,16.24,6,7,10.24,-6,70.86,6,2.76,0.46,51.86,19,13
177,1.85,0.15,24.05,24.05,14.05,-1.95,-1.95,8.05,26,16,1.95,0,10,16,0,1.95,10,-10,-8.05,-10,96.194,13,11.05,0.85,83.194,13,3
178,1.38,0.62,22.08,8.08,13.08,-9.92,4.08,-0.92,18,23,9.92,14,9,9,-14,-4.08,-5,-9,0.92,5,123.116,16,6.08,0.38,121.116,2,7
179,1.5,0.5,6.0,14.0,19.0,-2.0,-10.0,-15.0,16,21,2.0,-8,-13,29,8,10.0,-5,13,15.0,5,51.39,4,2.0,0.5,39.39,12,17
180,1.07,0.93,13.91,0.91,6.91,-12.09,0.91,-5.09,13,19,12.09,13,7,6,-13,-0.91,-6,-7,5.09,6,78.596,13,0.91,0.07,78.596,0,6
181,1.19,0.81,13.09,12.09,6.09,-8.91,-7.91,-1.91,21,15,8.91,1,7,14,-1,7.91,6,-7,1.91,-6,57.926,11,2.09,0.19,47.926,10,4
182,1.34,0.66,9.38,3.38,15.38,-4.62,1.38,-10.62,8,20,4.62,6,-6,14,-6,-1.38,-12,6,10.62,12,70.244,7,2.38,0.34,69.244,1,13
183,1.3,0.7,9.1,15.1,13.1,-4.9,-10.9,-8.9,20,18,4.9,-6,-4,24,6,10.9,2,4,8.9,-2,75.552,7,2.1,0.3,62.55200000000001,13,11
184,1.2,0.8,24.0,4.0,20.0,-16.0,4.0,-12.0,20,36,16.0,20,4,16,-20,-4.0,-16,-4,12.0,16,297.666,20,4.0,0.2,297.666,0,16
185,1.07,0.93,10.7,1.7,16.7,-9.3,-0.3,-15.3,11,26,9.3,9,-6,17,-9,0.3,-15,6,15.3,15,153.54,10,0.7,0.07,152.54,1,16
186,1.67,0.33,21.71,9.71,23.71,-4.29,7.71,-6.29,14,28,4.29,12,-2,16,-12,-7.71,-14,2,6.29,14,126.902,13,8.71,0.67,125.902,1,15
187,1.16,0.84,23.2,22.2,20.2,-16.8,-15.8,-13.8,39,37,16.8,1,3,36,-1,15.8,2,-3,13.8,-2,339.09,20,3.2,0.16,320.09,19,17
188,1.95,0.05,35.1,17.1,36.1,-0.9,17.1,-1.9,18,37,0.9,18,-1,19,-18,-17.1,-19,1,1.9,19,180.008,18,17.1,0.95,180.008,0,19
189,1.52,0.48,22.8,16.8,21.8,-7.2,-1.2,-6.2,24,29,7.2,6,1,23,-6,1.2,-5,-1,6.2,5,171.148,15,7.8,0.52,162.148,9,14
190,1.67,0.33,20.04,25.04,11.04,-3.96,-8.96,5.04,29,15,3.96,-5,9,20,5,8.96,14,-9,-5.04,-14,81.672,12,8.04,0.67,64.672,17,3
191,1.5,0.5,3.0,7.0,1.0,-1.0,-5.0,1.0,8,2,1.0,-4,2,6,4,5.0,6,-2,-1.0,-6,7.47,2,1.0,0.5,1.4699999999999998,6,0
192,1.41,0.59,18.33,25.33,11.33,-7.67,-14.67,-0.67,33,19,7.67,-7,7,26,7,14.67,14,-7,0.67,-14,103.308,13,5.33,0.41,83.308,20,6
193,1.28,0.72,8.96,7.96,15.96,-5.04,-4.04,-12.04,13,21,5.04,1,-7,20,-1,4.04,-8,7,12.04,8,84.894,7,1.96,0.28,78.894,6,14
194,1.71,0.29,18.81,26.81,12.81,-3.19,-11.19,2.81,30,16,3.19,-8,6,24,8,11.19,14,-6,-2.81,-14,81.95,11,7.81,0.71,62.95,19,5
195,1.28,0.72,14.08,18.08,14.08,-7.92,-11.92,-7.92,26,22,7.92,-4,0,26,4,11.92,4,0,7.92,-4,120.894,11,3.08,0.28,105.894,15,11
196,1.8,0.2,18.0,13.0,10.0,-2.0,3.0,6.0,15,12,2.0,5,8,7,-5,-3.0,3,-8,-6.0,-3,52.79,10,8.0,0.8,47.79,5,2
197,1.65,0.35,3.3,15.3,20.3,-0.7,-12.7,-17.7,16,21,0.7,-12,-17,33,12,12.7,-5,17,17.7,5,29.068,2,1.3,0.65,15.068000000000001,14,19
198,1.78,0.22,35.6,17.6,31.6,-4.4,13.6,-0.4,22,36,4.4,18,4,18,-18,-13.6,-14,-4,0.4,14,235.912,20,15.6,0.78,233.912,2,16
199,1.86,0.14,3.72,14.72,4.72,-0.28,-11.28,-1.28,15,5,0.28,-11,-1,16,11,11.28,10,1,1.28,-10,16.418,2,1.72,0.86,3.4179999999999993,13,3
200,1.41,0.59,5.64,14.64,12.64,-2.36,-11.36,-9.36,17,15,2.36,-9,-7,24,9,11.36,2,7,9.36,-2,43.476,4,1.64,0.41,30.476,13,11
201,1.11,0.89,11.1,17.1,4.1,-8.9,-14.9,-1.9,26,13,8.9,-6,7,19,6,14.9,13,-7,1.9,-13,49.038,10,1.1,0.11,33.038,16,3
202,1.38,0.62,4.14,5.14,21.14,-1.86,-2.86,-18.86,7,23,1.86,-1,-17,24,1,2.86,-16,17,18.86,16,43.772,3,1.14,0.38,39.772,4,20
203,1.51,0.49,3.02,9.02,8.02,-0.98,-6.98,-5.98,10,9,0.98,-6,-5,15,6,6.98,1,5,5.98,-1,16.27,2,1.02,0.51,8.27,8,7
204,1.9,0.1,17.1,25.1,26.1,-0.9,-8.9,-9.9,26,27,0.9,-8,-9,35,8,8.9,-1,9,9.9,1,73.306,9,8.1,0.9,56.306,17,18
205,1.06,0.94,1.06,2.06,7.06,-0.94,-1.94,-6.94,3,8,0.94,-1,-6,9,1,1.94,-5,6,6.94,5,8.544,1,0.06,0.06,6.5440000000000005,2,7
206,1.08,0.92,16.2,11.2,13.2,-13.8,-8.8,-10.8,25,27,13.8,5,3,22,-5,8.8,-2,-3,10.8,2,185.768,15,1.2,0.08,175.768,10,12
207,1.33,0.67,3.99,12.99,17.99,-2.01,-11.01,-16.01,15,20,2.01,-9,-14,29,9,11.01,-5,14,16.01,5,47.85,3,0.99,0.33,35.85,12,17
208,1.18,0.82,12.98,12.98,2.98,-9.02,-9.02,0.98,22,12,9.02,0,10,12,0,9.02,10,-10,-0.98,-10,31.776,11,1.98,0.18,20.776,11,1
209,1.19,0.81,13.09,13.09,19.09,-8.91,-8.91,-14.91,22,28,8.91,0,-6,28,0,8.91,-6,6,14.91,6,174.574,11,2.09,0.19,163.574,11,17
210,1.71,0.29,5.13,8.13,22.13,-0.87,-3.87,-17.87,9,23,0.87,-3,-17,26,3,3.87,-14,17,17.87,14,28.094,3,2.13,0.71,22.094,6,20
211,1.63,0.37,17.93,23.93,16.93,-4.07,-10.07,-3.07,28,21,4.07,-6,1,27,6,10.07,7,-1,3.07,-7,99.632,11,6.93,0.63,82.632,17,10
212,1.57,0.43,15.7,12.7,15.7,-4.3,-1.3,-4.3,17,20,4.3,3,0,17,-3,1.3,-3,0,4.3,3,81.128,10,5.7,0.57,74.128,7,10
213,1.35,0.65,13.5,8.5,6.5,-6.5,-1.5,0.5,15,13,6.5,5,7,8,-5,1.5,2,-7,-0.5,-2,44.102,10,3.5,0.35,39.102,5,3
214,1.11,0.89,19.98,14.98,13.98,-16.02,-11.02,-10.02,31,30,16.02,5,6,25,-5,11.02,1,-6,10.02,-1,223.396,18,1.98,0.11,210.396,13,12
215,1.4,0.6,22.4,21.4,16.4,-9.6,-8.6,-3.6,31,26,9.6,1,6,25,-1,8.6,5,-6,3.6,-5,166.054,16,6.4,0.4,151.054,15,10
216,1.15,0.85,3.45,0.45,10.45,-2.55,0.45,-9.55,3,13,2.55,3,-7,10,-3,-0.45,-10,7,9.55,10,26.454,3,0.45,0.15,26.454,0,10
217,1.32,0.68,18.48,12.48,14.48,-9.52,-3.52,-5.52,22,24,9.52,6,4,18,-6,3.52,-2,-4,5.52,2,137.198,14,4.48,0.32,129.198,8,10
218,1.3,0.7,3.9,8.9,5.9,-2.1,-7.1,-4.1,11,8,2.1,-5,-2,13,5,7.1,3,2,4.1,-3,20.28,3,0.9,0.3,12.280000000000001,8,5
219,1.85,0.15,14.8,13.8,15.8,-1.2,-0.2,-2.2,15,17,1.2,1,-1,16,-1,0.2,-2,1,2.2,2,48.414,8,6.8,0.85,41.414,7,9
220,1.8,0.2,12.6,22.6,23.6,-1.4,-11.4,-12.4,24,25,1.4,-10,-11,35,10,11.4,-1,11,12.4,1,64.638,7,5.6,0.8,47.638000000000005,17,18
221,1.05,0.95,6.3,18.3,18.3,-5.7,-17.7,-17.7,24,24,5.7,-12,-12,36,12,17.7,0,12,17.7,0,121.582,6,0.3,0.05,103.582,18,18
222,1.94,0.06,1.94,17.94,2.94,-0.06,-16.06,-1.06,18,3,0.06,-16,-1,19,16,16.06,15,1,1.06,-15,18.05,1,0.94,0.94,1.0500000000000007,17,2
223,1.74,0.26,22.62,26.62,20.62,-3.38,-7.38,-1.38,30,24,3.38,-4,2,28,4,7.38,6,-2,1.38,-6,121.192,13,9.62,0.74,104.192,17,11
224,1.69,0.31,10.14,10.14,10.14,-1.86,-1.86,-1.86,12,12,1.86,0,0,12,0,1.86,0,0,1.86,0,31.672,6,4.14,0.69,25.672,6,6
225,1.45,0.55,8.7,2.7,11.7,-3.3,2.7,-6.3,6,15,3.3,6,-3,9,-6,-2.7,-9,3,6.3,9,39.586,6,2.7,0.45,39.586,0,9
226,1.89,0.11,3.78,20.78,21.78,-0.22,-17.22,-18.22,21,22,0.22,-17,-18,39,17,17.22,-1,18,18.22,1,25.982,2,1.78,0.89,6.981999999999999,19,20
227,1.89,0.11,20.79,22.79,10.79,-1.21,-3.21,8.79,24,12,1.21,-2,10,14,2,3.21,12,-10,-8.79,-12,73.088,11,9.79,0.89,60.087999999999994,13,1
228,1.12,0.88,2.24,18.24,16.24,-1.76,-17.76,-15.76,20,18,1.76,-16,-14,34,16,17.76,2,14,15.76,-2,46.578,2,0.24,0.12,28.578000000000003,18,16
229,1.42,0.58,21.3,19.3,19.3,-8.7,-6.7,-6.7,28,28,8.7,2,2,26,-2,6.7,0,-2,6.7,0,176.564,15,6.3,0.42,163.564,13,13
230,1.86,0.14,22.32,25.32,24.32,-1.68,-4.68,-3.68,27,26,1.68,-3,-2,29,3,4.68,1,2,3.68,-1,105.29,12,10.32,0.86,90.29,15,14
231,1.23,0.77,3.69,20.69,20.69,-2.31,-19.31,-19.31,23,23,2.31,-17,-17,40,17,19.31,0,17,19.31,0,67.05,3,0.69,0.23,47.05,20,20
232,1.44,0.56,11.52,10.52,7.52,-4.48,-3.48,-0.48,15,12,4.48,1,4,11,-1,3.48,3,-4,0.48,-3,40.856,8,3.52,0.44,33.856,7,4
233,1.22,0.78,8.54,5.54,5.54,-5.46,-2.46,-2.46,11,11,5.46,3,3,8,-3,2.46,0,-3,2.46,0,32.098,7,1.54,0.22,28.098,4,4
234,1.26,0.74,20.16,20.16,16.16,-11.84,-11.84,-7.84,32,28,11.84,0,4,28,0,11.84,4,-4,7.84,-4,193.296,16,4.16,0.26,177.296,16,12
235,1.21,0.79,22.99,14.99,21.99,-15.01,-7.01,-14.01,30,37,15.01,8,1,29,-8,7.01,-7,-1,14.01,7,321.782,19,3.99,0.21,310.782,11,18
236,1.16,0.84,11.6,3.6,7.6,-8.4,-0.4,-4.4,12,16,8.4,8,4,8,-8,0.4,-4,-4,4.4,4,61.206,10,1.6,0.16,59.206,2,6
237,1.29,0.71,11.61,5.61,9.61,-6.39,-0.39,-4.39,12,16,6.39,6,2,10,-6,0.39,-4,-2,4.39,4,60.674,9,2.61,0.29,57.674,3,7
238,1.78,0.22,5.34,9.34,20.34,-0.66,-4.66,-15.66,10,21,0.66,-4,-15,25,4,4.66,-11,15,15.66,11,24.072,3,2.34,0.78,17.072,7,18
239,1.4,0.6,14.0,12.0,6.0,-6.0,-4.0,2.0,18,12,6.0,2,8,10,-2,4.0,6,-8,-2.0,-6,42.626,10,4.0,0.4,34.626,8,2
240,1.22,0.78,20.74,5.74,8.74,-13.26,1.74,-1.26,19,22,13.26,15,12,7,-15,-1.74,-3,-12,1.26,3,102.096,17,3.74,0.22,100.096,2,5
241,1.24,0.76,1.24,9.24,5.24,-0.76,-8.76,-4.76,10,6,0.76,-8,-4,14,8,8.76,4,4,4.76,-4,12.888,1,0.24,0.24,3.888,9,5
242,1.61,0.39,28.98,26.98,19.98,-7.02,-5.02,1.98,34,27,7.02,2,9,25,-2,5.02,7,-9,-1.98,-7,182.974,18,10.98,0.61,166.974,16,9
243,1.72,0.28,22.36,23.36,17.36,-3.64,-4.64,1.36,27,21,3.64,-1,5,22,1,4.64,6,-5,-1.36,-6,108.786,13,9.36,0.72,94.786,14,8
244,1.5,0.5,6.0,21.0,15.0,-2.0,-17.0,-11.0,23,17,2.0,-15,-9,32,15,17.0,6,9,11.0,-6,49.474,4,2.0,0.5,30.473999999999997,19,13
245,1.75,0.25,7.0,3.0,12.0,-1.0,3.0,-6.0,4,13,1.0,4,-5,9,-4,-3.0,-9,5,6.0,9,16.756,4,3.0,0.75,16.756,0,9
246,1.75,0.25,19.25,20.25,25.25,-2.75,-3.75,-8.75,23,28,2.75,-1,-6,29,1,3.75,-5,6,8.75,5,108.272,11,8.25,0.75,96.272,12,17
247,1.44,0.56,18.72,21.72,6.72,-7.28,-10.28,4.72,29,14,7.28,-3,12,17,3,10.28,15,-12,-4.72,-15,62.352,13,5.72,0.44,46.352,16,1
248,1.62,0.38,14.58,18.58,20.58,-3.42,-7.42,-9.42,22,24,3.42,-4,-6,28,4,7.42,-2,6,9.42,2,92.306,9,5.58,0.62,79.306,13,15
249,1.93,0.07,34.74,34.74,30.74,-1.26,-1.26,2.74,36,32,1.26,0,4,32,0,1.26,4,-4,-2.74,-4,194.444,18,16.74,0.93,176.444,18,14
250,1.8,0.2,27.0,32.0,16.0,-3.0,-8.0,8.0,35,19,3.0,-5,11,24,5,8.0,16,-11,-8.0,-16,128.128,15,12.0,0.8,108.12799999999999,20,4
251,1.38,0.62,13.8,11.8,13.8,-6.2,-4.2,-6.2,18,20,6.2,2,0,18,-2,4.2,-2,0,6.2,2,90.674,10,3.8,0.38,82.674,8,10
252,1.55,0.45,15.5,15.5,25.5,-4.5,-4.5,-14.5,20,30,4.5,0,-10,30,0,4.5,-10,10,14.5,10,130.674,10,5.5,0.55,120.674,10,20
253,1.58,0.42,30.02,24.02,25.02,-7.98,-1.98,-2.98,32,33,7.98,6,5,27,-6,1.98,-1,-5,2.98,1,234.482,19,11.02,0.58,221.482,13,14
254,1.22,0.78,24.4,21.4,5.4,-15.6,-12.6,3.4,37,21,15.6,3,19,18,-3,12.6,16,-19,-3.4,-16,79.786,20,4.4,0.22,62.786,17,1
255,1.75,0.25,29.75,14.75,20.75,-4.25,10.75,4.75,19,25,4.25,15,9,10,-15,-10.75,-6,-9,-4.75,6,150.47,17,12.75,0.75,148.47,2,8
256,1.66,0.34,26.56,15.56,18.56,-5.44,5.56,2.56,21,24,5.44,11,8,13,-11,-5.56,-3,-8,-2.56,3,138.492,16,10.56,0.66,133.492,5,8
257,1.38,0.62,9.66,8.66,13.66,-4.34,-3.34,-8.34,13,18,4.34,1,-4,17,-1,3.34,-5,4,8.34,5,64.932,7,2.66,0.38,58.932,6,11
258,1.59,0.41,23.85,27.85,27.85,-6.15,-10.15,-10.15,34,34,6.15,-4,-4,38,4,10.15,0,4,10.15,0,207.354,15,8.85,0.59,188.354,19,19
259,1.3,0.7,7.8,16.8,5.8,-4.2,-13.2,-2.2,21,10,4.2,-9,2,19,9,13.2,11,-2,2.2,-11,38.074,6,1.8,0.3,23.073999999999998,15,4
260,1.24,0.76,16.12,14.12,11.12,-9.88,-7.88,-4.88,24,21,9.88,2,5,19,-2,7.88,3,-5,4.88,-3,112.114,13,3.12,0.24,101.114,11,8
261,1.43,0.57,24.31,11.31,13.31,-9.69,3.31,1.31,21,23,9.69,13,11,10,-13,-3.31,-2,-11,-1.31,2,126.938,17,7.31,0.43,122.938,4,6
262,1.75,0.25,35.0,24.0,20.0,-5.0,6.0,10.0,29,25,5.0,11,15,14,-11,-6.0,4,-15,-10.0,-4,191.202,20,15.0,0.75,182.202,9,5
263,1.77,0.23,10.62,23.62,19.62,-1.38,-14.38,-10.38,25,21,1.38,-13,-9,34,13,14.38,4,9,10.38,-4,55.05,6,4.62,0.77,36.05,19,15
264,1.46,0.54,1.46,0.46,6.46,-0.54,0.46,-5.54,1,7,0.54,1,-5,6,-1,-0.46,-6,5,5.54,6,3.45,1,0.46,0.46,3.45,0,6
265,1.21,0.79,1.21,18.21,9.21,-0.79,-17.79,-8.79,19,10,0.79,-17,-8,27,17,17.79,9,8,8.79,-9,25.112,1,0.21,0.21,7.111999999999998,18,9
266,1.8,0.2,14.4,21.4,7.4,-1.6,-8.6,5.4,23,9,1.6,-7,7,16,7,8.6,14,-7,-5.4,-14,45.256,8,6.4,0.8,30.256,15,1
267,1.17,0.83,8.19,11.19,12.19,-5.81,-8.81,-9.81,17,18,5.81,-3,-4,21,3,8.81,-1,4,9.81,1,78.85,7,1.19,0.17,68.85,10,11
268,1.6,0.4,3.2,20.2,2.2,-0.8,-17.8,0.2,21,3,0.8,-17,1,20,17,17.8,18,-1,-0.2,-18,21.598,2,1.2,0.6,2.597999999999999,19,1
269,1.73,0.27,6.92,13.92,4.92,-1.08,-8.08,0.92,15,6,1.08,-7,2,13,7,8.08,9,-2,-0.92,-9,20.48,4,2.92,0.73,9.48,11,2
270,1.24,0.76,14.88,4.88,17.88,-9.12,0.88,-12.12,14,27,9.12,10,-3,17,-10,-0.88,-13,3,12.12,13,157.434,12,2.88,0.24,155.434,2,15
271,1.21,0.79,24.2,24.2,4.2,-15.8,-15.8,4.2,40,20,15.8,0,20,20,0,15.8,20,-20,-4.2,-20,65.298,20,4.2,0.21,45.298,20,0
272,1.09,0.91,5.45,18.45,6.45,-4.55,-17.55,-5.55,23,11,4.55,-13,-1,24,13,17.55,12,1,5.55,-12,46.61,5,0.45,0.09,28.61,18,6
273,1.23,0.77,17.22,11.22,12.22,-10.78,-4.78,-5.78,22,23,10.78,6,5,17,-6,4.78,-1,-5,5.78,1,129.18,14,3.22,0.23,121.18,8,9
274,1.11,0.89,14.43,11.43,14.43,-11.57,-8.57,-11.57,23,26,11.57,3,0,23,-3,8.57,-3,0,11.57,3,170.726,13,1.43,0.11,160.726,10,13
275,1.12,0.88,10.08,16.08,12.08,-7.92,-13.92,-9.92,24,20,7.92,-6,-2,26,6,13.92,4,2,9.92,-4,107.994,9,1.08,0.12,92.994,15,11
276,1.67,0.33,10.02,13.02,4.02,-1.98,-4.98,4.02,15,6,1.98,-3,6,9,3,4.98,9,-6,-4.02,-9,23.434,6,4.02,0.67,14.434000000000001,9,0
277,1.09,0.91,19.62,21.62,15.62,-16.38,-18.38,-12.38,38,32,16.38,-2,4,34,2,18.38,6,-4,12.38,-6,265.008,18,1.62,0.09,245.00799999999998,20,14
278,1.76,0.24,26.4,26.4,28.4,-3.6,-3.6,-5.6,30,32,3.6,0,-2,32,0,3.6,-2,2,5.6,2,166.706,15,11.4,0.76,151.706,15,17
279,1.35,0.65,6.75,13.75,13.75,-3.25,-10.25,-10.25,17,17,3.25,-7,-7,24,7,10.25,0,7,10.25,0,56.572,5,1.75,0.35,44.572,12,12
280,1.15,0.85,10.35,21.35,15.35,-7.65,-18.65,-12.65,29,23,7.65,-11,-5,34,11,18.65,6,5,12.65,-6,133.752,9,1.35,0.15,113.75200000000001,20,14
281,1.37,0.63,24.66,20.66,24.66,-11.34,-7.34,-11.34,32,36,11.34,4,0,32,-4,7.34,-4,0,11.34,4,282.128,18,6.66,0.37,268.128,14,18
282,1.78,0.22,5.34,18.34,18.34,-0.66,-13.66,-13.66,19,19,0.66,-13,-13,32,13,13.66,0,13,13.66,0,30.802,3,2.34,0.78,14.802,16,16
283,1.67,0.33,33.4,17.4,29.4,-6.6,9.4,-2.6,24,36,6.6,16,4,20,-16,-9.4,-12,-4,2.6,12,250.126,20,13.4,0.67,246.126,4,16
284,1.38,0.62,22.08,13.08,15.08,-9.92,-0.92,-2.92,23,25,9.92,9,7,16,-9,0.92,-2,-7,2.92,2,147.218,16,6.08,0.38,140.218,7,9
285,1.39,0.61,9.73,20.73,18.73,-4.27,-15.27,-13.27,25,23,4.27,-11,-9,34,11,15.27,2,9,13.27,-2,96.636,7,2.73,0.39,78.636,18,16
286,1.15,0.85,17.25,9.25,19.25,-12.75,-4.75,-14.75,22,32,12.75,8,-2,24,-8,4.75,-10,2,14.75,10,242.578,15,2.25,0.15,235.578,7,17
287,1.09,0.91,5.45,0.45,3.45,-4.55,0.45,-2.55,5,8,4.55,5,2,3,-5,-0.45,-3,-2,2.55,3,15.05,5,0.45,0.09,15.05,0,3
288,1.52,0.48,21.28,27.28,15.28,-6.72,-12.72,-0.72,34,22,6.72,-6,6,28,6,12.72,12,-6,0.72,-12,128.952,14,7.28,0.52,108.952,20,8
289,1.82,0.18,16.38,24.38,17.38,-1.62,-9.62,-2.62,26,19,1.62,-8,-1,27,8,9.62,7,1,2.62,-7,70.224,9,7.38,0.82,53.224000000000004,17,10
290,1.9,0.1,38.0,24.0,32.0,-2.0,12.0,4.0,26,34,2.0,14,6,20,-14,-12.0,-8,-6,-4.0,8,223.57,20,18.0,0.9,217.57,6,14
291,1.33,0.67,3.99,7.99,9.99,-2.01,-6.01,-8.01,10,12,2.01,-4,-6,16,4,6.01,-2,6,8.01,2,27.392,3,0.99,0.33,20.392,7,9
292,1.75,0.25,22.75,26.75,16.75,-3.25,-7.25,2.75,30,20,3.25,-4,6,24,4,7.25,10,-6,-2.75,-10,108.226,13,9.75,0.75,91.226,17,7
293,1.48,0.52,17.76,20.76,18.76,-6.24,-9.24,-7.24,27,25,6.24,-3,-1,28,3,9.24,2,1,7.24,-2,133.384,12,5.76,0.48,118.38399999999999,15,13
294,1.17,0.83,15.21,12.21,21.21,-10.79,-7.79,-16.79,23,32,10.79,3,-6,29,-3,7.79,-9,6,16.79,9,230.054,13,2.21,0.17,220.054,10,19
295,1.68,0.32,15.12,19.12,15.12,-2.88,-6.88,-2.88,22,18,2.88,-4,0,22,4,6.88,4,0,2.88,-4,69.618,9,6.12,0.68,56.617999999999995,13,9
