,(((M*p)+(n*p))-(M*p)*(n*p)),((M*p)+(n*p)),((p+(M*p))-p*(M*p)),((p+(n*p))-p*(n*p)),(1+(M*p)),(1+(n*p)),(1+p),(1-(M*p)),(1-(n*p)),(1-p),(M*p),(M-n),(M-x),(n*p),(n+M),(n-M),(n-x),(p+(M*p)),(p+(n*p)),(x+M),(x+n),(x-M),(x-n),M,expected_post,n,p,post-init,x
132,0.99,2.72,1.46,1.01,2.7,2.02,1.34,-0.7,-0.02,0.66,1.7,2,-11,1.02,8,-2,-13,2.04,1.36,21,19,11,13,5,16.65,3,0.34,0.6499999999999986,16
133,5.16,5.16,1.58,0.86,6.16,1.0,1.86,-4.16,1.0,0.14,5.16,6,-10,0.0,6,-6,-16,6.02,0.86,22,16,10,16,6,21.164,0,0.86,5.1640000000000015,16
134,-2.91,5.98,2.71,2.36,4.22,3.76,1.23,-2.22,-1.76,0.77,3.22,2,3,2.76,26,-2,1,3.45,2.99,25,23,-3,-1,14,11.472,12,0.23,0.47199999999999953,11
135,-28.03,13.44,4.97,2.98,9.64,5.8,1.48,-7.64,-3.8,0.52,8.64,8,16,4.8,28,-8,8,9.12,5.28,20,12,-16,-8,18,5.768,10,0.48,3.768,2
136,1.01,1.44,1.02,0.45,2.02,1.42,1.06,-0.02,0.58,0.94,1.02,10,11,0.42,24,-10,1,1.08,0.48,23,13,-11,-1,17,6.594,7,0.06,0.5940000000000003,6
137,1.74,1.74,1.31,0.58,2.74,1.0,1.58,-0.74,1.0,0.42,1.74,3,-6,0.0,3,-3,-9,2.32,0.58,12,9,6,9,3,10.728,0,0.58,1.7279999999999998,9
138,-3.89,7.3,2.11,1.32,6.11,3.19,1.73,-4.11,-1.19,0.27,5.11,4,1,2.19,10,-4,-3,5.84,2.92,13,9,-1,3,7,8.896,3,0.73,2.896000000000001,6
139,4.75,15.12,4.75,0.92,15.4,1.72,1.72,-13.4,0.28,0.28,14.4,19,12,0.72,21,-19,-7,15.12,1.44,28,9,-12,7,20,21.56,1,0.72,13.559999999999999,8
140,7.2,7.2,1.62,0.9,8.2,1.0,1.9,-6.2,1.0,0.1,7.2,8,-3,0.0,8,-8,-11,8.1,0.9,19,11,3,11,8,18.202,0,0.9,7.202000000000002,11
141,5.13,5.13,4.01,0.27,6.13,1.0,1.27,-4.13,1.0,0.73,5.13,19,11,0.0,19,-19,-8,5.4,0.27,27,8,-11,8,19,12.962,0,0.27,4.962,8
142,0.85,1.04,0.82,0.3,1.8,1.24,1.08,0.2,0.76,0.92,0.8,7,0,0.24,13,-7,-7,0.88,0.32,20,13,0,7,10,10.542,3,0.08,0.5419999999999998,10
143,-1.89,5.52,2.2,1.7,4.22,3.3,1.46,-2.22,-1.3,0.54,3.22,2,-8,2.3,12,-2,-10,3.68,2.76,22,20,8,10,7,15.902,5,0.46,0.9019999999999992,15
144,-4.11,7.36,3.8,1.84,6.12,3.24,1.32,-4.12,-1.24,0.68,5.12,9,6,2.24,23,-9,-3,5.44,2.56,26,17,-6,3,16,12.884,7,0.32,2.8840000000000003,10
145,-10.49,18.27,3.02,1.1,17.53,2.74,1.87,-15.53,-0.74,0.13,16.53,17,8,1.74,21,-17,-9,17.4,2.61,30,13,-8,9,19,25.648,2,0.87,14.648,11
146,-6.78,9.68,4.63,1.67,8.48,3.2,1.44,-6.48,-1.2,0.56,7.48,12,17,2.2,22,-12,5,7.92,2.64,17,5,-17,-5,17,5.202,5,0.44,5.202,0
147,-2.04,6.6,2.52,1.32,5.8,2.8,1.6,-3.8,-0.8,0.4,4.8,5,3,1.8,11,-5,-2,5.4,2.4,13,8,-3,2,8,8.002,3,0.6,3.0020000000000007,5
148,-0.04,5.0,3.08,1.32,4.6,2.4,1.2,-2.6,-0.4,0.8,3.6,11,13,1.4,25,-11,2,3.8,1.6,23,12,-13,-2,18,7.154,7,0.2,2.154,5
149,2.64,2.64,1.92,0.44,3.64,1.0,1.44,-1.64,1.0,0.56,2.64,6,-3,0.0,6,-6,-9,3.08,0.44,15,9,3,9,6,11.596,0,0.44,2.596,9
150,1.19,2.4,1.6,0.75,2.68,1.72,1.12,-0.68,0.28,0.88,1.68,8,-3,0.72,20,-8,-11,1.8,0.84,31,23,3,11,14,18.002,6,0.12,1.001999999999999,17
151,-106.35,23.12,5.03,3.73,14.6,10.52,1.68,-12.6,-8.52,0.32,13.6,6,5,9.52,34,-6,-1,14.28,10.2,35,29,-5,1,20,19.108,14,0.68,4.1080000000000005,15
152,-9.88,10.4,3.38,1.56,8.8,3.6,1.65,-6.8,-1.6,0.35,7.8,8,-4,2.6,16,-8,-12,8.45,3.25,28,20,4,12,12,21.208,4,0.65,5.207999999999998,16
153,-1.44,5.75,3.24,1.65,4.91,2.84,1.23,-2.91,-0.84,0.77,3.91,9,5,1.84,25,-9,-4,4.14,2.07,29,20,-5,4,17,14.012,8,0.23,2.0120000000000005,12
154,-33.98,14.26,5.18,3.44,9.74,6.52,1.46,-7.74,-4.52,0.54,8.74,7,15,5.52,31,-7,8,9.2,5.98,23,16,-15,-8,19,7.222,12,0.46,3.2220000000000004,4
155,-71.11,19.0,3.13,2.95,10.88,10.12,1.76,-8.88,-8.12,0.24,9.88,1,-6,9.12,25,-1,-7,10.64,9.88,32,31,6,7,13,19.768,12,0.76,0.7680000000000007,19
156,1.05,1.44,1.05,0.59,2.08,1.36,1.36,-0.08,0.64,0.64,1.08,2,-6,0.36,4,-2,-8,1.44,0.72,12,10,6,8,3,9.734,1,0.36,0.734,9
157,-148.59,26.64,4.59,3.82,15.8,12.84,1.74,-13.8,-10.84,0.26,14.8,4,3,11.84,36,-4,-1,15.54,12.58,37,33,-3,1,20,19.96,16,0.74,2.960000000000001,17
158,-16.02,10.26,3.68,3.44,6.32,5.94,1.38,-4.32,-3.94,0.62,5.32,1,1,4.94,27,-1,0,5.7,5.32,27,26,-1,0,14,13.382,13,0.38,0.3819999999999997,13
159,5.1,5.1,3.71,0.34,6.1,1.0,1.34,-4.1,1.0,0.66,5.1,15,-5,0.0,15,-15,-20,5.44,0.34,35,20,5,20,15,25.156,0,0.34,5.155999999999999,20
160,5.3,5.3,3.02,0.53,6.3,1.0,1.53,-4.3,1.0,0.47,5.3,10,9,0.0,10,-10,-1,5.83,0.53,11,1,-9,1,10,6.294,0,0.53,5.294,1
161,4.64,4.64,3.58,0.29,5.64,1.0,1.29,-3.64,1.0,0.71,4.64,16,4,0.0,16,-16,-12,4.93,0.29,28,12,-4,12,16,16.764,0,0.29,4.763999999999999,12
162,4.8,4.8,2.98,0.48,5.8,1.0,1.48,-3.8,1.0,0.52,4.8,10,-7,0.0,10,-10,-17,5.28,0.48,27,17,7,17,10,21.926,0,0.48,4.925999999999998,17
163,-89.1,24.3,2.7,1.53,19.0,7.3,1.9,-17.0,-5.3,0.1,18.0,13,7,6.3,27,-13,-6,18.9,7.2,33,20,-7,6,20,24.684,7,0.9,11.684000000000001,13
164,-137.39,26.1,2.91,2.23,16.66,11.44,1.87,-14.66,-9.44,0.13,15.66,6,9,10.44,30,-6,3,16.53,11.31,27,21,-9,-3,18,14.262,12,0.87,5.2620000000000005,9
165,7.65,7.65,4.66,0.45,8.65,1.0,1.45,-6.65,1.0,0.55,7.65,17,6,0.0,17,-17,-11,8.1,0.45,28,11,-6,11,17,18.658,0,0.45,7.658000000000001,11
166,0.99,1.43,0.99,0.5,1.99,1.44,1.11,0.01,0.56,0.89,0.99,5,-8,0.44,13,-5,-13,1.1,0.55,26,21,8,13,9,17.586,4,0.11,0.5859999999999985,17
167,-6.88,7.75,3.62,2.69,5.5,4.25,1.25,-3.5,-2.25,0.75,4.5,5,8,3.25,31,-5,3,4.75,3.5,28,23,-8,-3,18,11.252,13,0.25,1.2520000000000007,10
168,-49.43,16.28,3.05,2.66,9.88,8.4,1.74,-7.88,-6.4,0.26,8.88,2,-2,7.4,22,-2,-4,9.62,8.14,26,24,2,4,12,15.46,10,0.74,1.4600000000000009,14
169,1.04,1.96,1.18,0.79,2.19,1.77,1.07,-0.19,0.23,0.93,1.19,6,-1,0.77,28,-6,-7,1.26,0.84,35,29,1,7,17,18.388,11,0.07,0.3880000000000017,18
170,0.98,1.44,0.98,0.73,1.96,1.48,1.48,0.04,0.52,0.52,0.96,1,-6,0.48,3,-1,-7,1.44,0.96,10,9,6,7,2,8.494,1,0.48,0.4939999999999998,8
171,-3.75,6.44,2.9,2.3,4.64,3.8,1.28,-2.64,-1.8,0.72,3.64,3,12,2.8,23,-3,9,3.92,3.08,14,11,-12,-9,13,1.92,10,0.28,0.9199999999999999,1
172,-3.08,8.01,1.58,1.09,7.23,2.78,1.89,-5.23,-0.78,0.11,6.23,5,-13,1.78,9,-5,-18,7.12,2.67,27,22,13,18,7,24.436,2,0.89,4.436,20
173,0.78,1.05,0.57,0.53,1.55,1.5,1.05,0.45,0.5,0.95,0.55,1,-3,0.5,21,-1,-4,0.6,0.55,25,24,3,4,11,14.056,10,0.05,0.05599999999999916,14
174,-70.69,20.44,4.47,2.5,14.87,7.57,1.73,-12.87,-5.57,0.27,13.87,10,4,6.57,28,-10,-6,14.6,7.3,34,24,-4,6,19,22.322,9,0.73,7.321999999999999,15
175,-106.73,22.77,4.33,4.11,12.73,12.04,1.69,-10.73,-10.04,0.31,11.73,1,13,11.04,33,-1,12,12.42,11.73,21,20,-13,-12,17,4.668,16,0.69,0.6680000000000001,4
176,0.83,1.12,0.74,0.45,1.72,1.4,1.08,0.28,0.6,0.92,0.72,4,2,0.4,14,-4,-2,0.8,0.48,16,12,-2,2,9,7.334,5,0.08,0.33399999999999963,7
177,-2.73,6.63,2.76,1.51,5.59,3.04,1.51,-3.59,-1.04,0.49,4.59,5,-7,2.04,13,-5,-12,5.1,2.55,25,20,7,12,9,18.472,4,0.51,2.4720000000000013,16
178,-71.11,19.24,3.63,2.86,12.1,9.14,1.74,-10.1,-7.14,0.26,11.1,4,-1,8.14,26,-4,-5,11.84,8.88,31,27,1,5,15,18.966,11,0.74,2.966000000000001,16
179,4.98,10.83,4.98,0.82,11.26,1.57,1.57,-9.26,0.43,0.43,10.26,17,4,0.57,19,-17,-13,10.83,1.14,32,15,-4,13,18,23.892,1,0.57,9.892,14
180,0.79,0.96,0.74,0.29,1.72,1.24,1.06,0.28,0.76,0.94,0.72,8,8,0.24,16,-8,0,0.78,0.3,16,8,-8,0,12,4.452,4,0.06,0.45199999999999996,4
181,2.76,2.76,1.55,0.69,3.76,1.0,1.69,-1.76,1.0,0.31,2.76,4,-13,0.0,4,-4,-17,3.45,0.69,21,17,13,17,4,19.706,0,0.69,2.7059999999999995,17
182,1.74,1.74,1.1,0.87,2.74,1.0,1.87,-0.74,1.0,0.13,1.74,2,-12,0.0,2,-2,-14,2.61,0.87,16,14,12,14,2,15.79,0,0.87,1.7899999999999991,14
183,-55.35,21.6,2.61,1.35,18.1,5.5,1.9,-16.1,-3.5,0.1,17.1,14,16,4.5,24,-14,2,18.0,5.4,22,8,-16,-2,19,15.538,5,0.9,12.538,3
184,1.47,3.9,2.29,0.87,4.12,1.78,1.39,-2.12,0.22,0.61,3.12,6,-1,0.78,10,-6,-7,3.51,1.17,17,11,1,7,8,11.414,2,0.39,2.4139999999999997,9
185,-28.15,14.95,4.52,2.02,12.05,4.9,1.65,-10.05,-2.9,0.35,11.05,11,0,3.9,23,-11,-11,11.7,4.55,34,23,0,11,17,24.104,6,0.65,7.103999999999999,17
186,0.94,2.79,1.65,1.07,2.71,2.08,1.09,-0.71,-0.08,0.91,1.71,7,-1,1.08,31,-7,-8,1.8,1.17,39,32,1,8,19,20.65,12,0.09,0.6499999999999986,20
187,1.54,2.22,1.54,0.6,2.85,1.37,1.37,-0.85,0.63,0.63,1.85,4,4,0.37,6,-4,0,2.22,0.74,6,2,-4,0,5,2.494,1,0.37,1.4940000000000002,1
188,-7.88,8.14,3.4,2.47,5.81,4.33,1.37,-3.81,-2.33,0.63,4.81,4,1,3.33,22,-4,-3,5.18,3.7,25,21,-1,3,13,13.444,9,0.37,1.4440000000000008,12
189,3.36,3.36,2.86,0.21,4.36,1.0,1.21,-2.36,1.0,0.79,3.36,16,-1,0.0,16,-16,-17,3.57,0.21,33,17,1,17,16,20.246,0,0.21,3.2459999999999987,17
190,0.72,3.6,2.12,1.16,3.4,2.2,1.2,-1.4,-0.2,0.8,2.4,6,-2,1.2,18,-6,-8,2.6,1.4,26,20,2,8,12,15.152,6,0.2,1.1519999999999992,14
191,0.91,1.12,0.89,0.3,1.88,1.24,1.08,0.12,0.76,0.92,0.88,8,8,0.24,14,-8,0,0.96,0.32,14,6,-8,0,11,3.616,3,0.08,0.6160000000000001,3
192,-30.26,13.43,2.45,1.95,8.9,6.53,1.79,-6.9,-4.53,0.21,7.9,3,-8,5.53,17,-3,-11,8.69,6.32,28,25,8,11,10,20.314,7,0.79,2.314,18
193,-36.29,14.25,1.33,1.28,8.6,7.65,1.95,-6.6,-5.65,0.05,7.6,1,5,6.65,15,-1,4,8.55,7.6,11,10,-5,-4,8,3.938,7,0.95,0.9380000000000002,3
194,-14.31,11.44,5.12,2.16,9.36,4.08,1.44,-7.36,-2.08,0.56,8.36,12,18,3.08,26,-12,6,8.8,3.52,20,8,-18,-6,19,6.288,7,0.44,5.288,1
195,-23.15,12.92,3.51,1.99,9.84,5.08,1.68,-7.84,-3.08,0.32,8.84,7,11,4.08,19,-7,4,9.52,4.76,15,8,-11,-4,13,6.822,6,0.68,4.822,2
196,-4.58,14.6,4.28,1.12,14.14,2.46,1.73,-12.14,-0.46,0.27,13.14,16,5,1.46,20,-16,-11,13.87,2.19,31,15,-5,11,18,24.58,2,0.73,11.579999999999998,13
197,-18.95,11.04,2.62,2.19,7.21,5.83,1.69,-5.21,-3.83,0.31,6.21,2,3,4.83,16,-2,1,6.9,5.52,15,13,-3,-1,9,7.404,7,0.69,1.404,6
198,2.9,5.67,4.01,0.66,6.13,1.54,1.27,-4.13,0.46,0.73,5.13,17,18,0.54,21,-17,1,5.4,0.81,20,3,-18,-1,19,5.504,2,0.27,4.504,1
199,-24.19,13.26,5.01,2.51,10.18,5.08,1.51,-8.18,-3.08,0.49,9.18,10,15,4.08,26,-10,5,9.69,4.59,21,11,-15,-5,18,8.148,8,0.51,5.148,3
200,0.86,2.75,1.38,1.28,2.43,2.32,1.11,-0.43,-0.32,0.89,1.43,1,-5,1.32,25,-1,-6,1.54,1.43,31,30,5,6,13,18.12,12,0.11,0.120000000000001,18
201,1.15,1.8,1.27,0.55,2.3,1.5,1.1,-0.3,0.5,0.9,1.3,8,0,0.5,18,-8,-8,1.4,0.6,26,18,0,8,13,13.78,5,0.1,0.7799999999999994,13
202,-0.52,4.55,1.56,1.33,3.6,2.95,1.65,-1.6,-0.95,0.35,2.6,1,-3,1.95,7,-1,-4,3.25,2.6,11,10,3,4,4,7.648,3,0.65,0.6479999999999997,7
203,-109.93,23.14,2.26,2.06,13.46,11.68,1.89,-11.46,-9.68,0.11,12.46,2,13,10.68,26,-2,11,13.35,11.57,15,13,-13,-11,14,2.782,12,0.89,1.782,1
